facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
strathcona community hospital,276,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T8H0J3,sherwood park,ab,,,,48,,
strathmore district health services,277,general,Hospitals,Public Health Agency of Canada,,200,brent blvd,T1P1J9,strathmore,ab,200 brent blvd. strathmore ab t1p 1j9,Strathmore,4805018,48,51.060882,-113.386513
sturgeon community hospital,278,general,Hospitals,Public Health Agency of Canada,,201,boudreau rd,T8N6C4,st albert,ab,201 boudreau rd. st. albert ab t8n 6c4,St. Albert,4811062,48,53.65524,-113.625711
sundre hospital & care centre,279,general,Hospitals,Public Health Agency of Canada,,709,1 st ne,T0M1X0,sundre,ab,709 - 1st st. n.e. sundre ab t0m 1x0,Sundre,4806036,48,51.807789,-114.635486
sunnyside care centre,280,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A5G1,medicine hat,ab,,Medicine Hat,,48,,
sunridge medical gallery — general ambulatory,281,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1Y7M9,calgary,ab,,Calgary,,48,,
sunridge medical gallery — mental health,282,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1Y7M8,calgary,ab,,Calgary,,48,,
swan hills healthcare centre,283,general,Hospitals,Public Health Agency of Canada,,29,freeman dr,T0G2C0,swan hills,ab,29 freeman dr. swan hills ab t0g 2c0,Swan Hills,4817024,48,54.7274797,-115.403079
sylvan lake community health centre,284,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T4S1M7,sylvan lake,ab,,Sylvan Lake,,48,,
taber health centre,285,general,Hospitals,Public Health Agency of Canada,,4326,50 ave,T1G1N9,taber,ab,4326 - 50th ave. taber ab t1g 1n9,Taber,4802022,48,49.7850125,-112.1651375
the bethany group — bethany meadows,286,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V1Y6,camrose,ab,,Camrose,,48,,
the bethany group — louise jensen care centre,287,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V4P8,camrose,ab,,Camrose,,48,,
the bethany group — rosehaven care centre,288,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4V1Y6,camrose,ab,,Camrose,,48,,
the brenda strafford foundation ltd. — bow view manor,289,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B0K7,calgary,ab,,Calgary,,48,,
the brenda strafford foundation ltd. — clifton manor,290,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2A0A8,calgary,ab,,Calgary,,48,,
the brenda strafford foundation ltd. — wentworth manor - the court,291,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3H3M2,calgary,ab,,Calgary,,48,,
the good samaritan society — dr. gerald zetter care centre,292,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,9649,71 ave,T6E5J2,edmonton,ab,9649 - 71st ave. edmonton ab t6e 5j2,Edmonton,4811061,48,53.5072809,-113.477577
the good samaritan society — mill woods centre,293,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6L7A4,edmonton,ab,,Edmonton,,48,,
the good samaritan society — pembina village,294,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E0T0,evansburg,ab,,,,48,,
the good samaritan society — rocky mountain house clearwater centre,295,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4T1W2,rocky mountain house,ab,,Rocky Mountain House,,48,,
the good samaritan society — south ridge village,296,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1B4P1,medicine hat,ab,,Medicine Hat,,48,,
the good samaritan society — southgate care centre,297,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6J2P1,edmonton,ab,,Edmonton,,48,,
the good samaritan society — stony plain care centre,298,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7Z1P9,stony plain,ab,,Stony Plain,,48,,
three hills health centre,299,general,Hospitals,Public Health Agency of Canada,,1504,2 st n,T0M2A0,three hills,ab,1504 - 2nd st. n. three hills ab t0m 2a0,Three Hills,4805048,48,51.7078018,-113.2510859
tofield health centre,300,general,Hospitals,Public Health Agency of Canada,,5543,44 st,T0B4J0,tofield,ab,5543 - 44 st. tofield ab t0b 4j0,Tofield,4810018,48,53.3726572,-112.6510992
tom baker cancer centre,301,cancer,Hospitals,Public Health Agency of Canada,,1331,29 st nw,T2N4N2,calgary,ab,1331 - 29th st. n.w. calgary ab t2n 4n2,Calgary,4806016,48,51.063131,-114.133258
totalcardiology rehabilitation inc.,302,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2G5B6,calgary,ab,,Calgary,,48,,
touchan oral and maxillofacial surgery,303,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2A5H5,calgary,ab,,Calgary,,48,,
touchmark at wedgewood,304,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6M2Y5,edmonton,ab,,Edmonton,,48,,
travois holdings ltd. — glamorgan care centre,305,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3E4Z5,calgary,ab,,Calgary,,48,,
travois holdings ltd. — mayfair care centre,306,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2V2X1,calgary,ab,,Calgary,,48,,
two hills health centre,307,general,Hospitals,Public Health Agency of Canada,,4401,53 ave,T0B4K0,two hills,ab,4401 - 53rd ave. two hills ab t0b 4k0,Two Hills,4810052,48,53.7132007,-111.731815
university of alberta hospital,308,,Hospitals,Province of Alberta,,8440,112 street,T6G2B7,edmonton,ab,"8440 – 112 street, edmonton, alberta, t6g 2b7",Edmonton,4811061,48,53.520463,-113.520921
university of alberta hospital and stollery children's hospital,309,general,Hospitals,Public Health Agency of Canada,,8440,112 st,T6G2B7,edmonton,ab,8440 - 112 st. edmonton ab t6g 2b7,Edmonton,4811061,48,53.5206343,-113.524527
valleyview health centre,310,general,Hospitals,Public Health Agency of Canada,,4802,highway st e,T0H3N0,valleyview,ab,4802 highway st. e. valleyview ab t0h 3n0,Valleyview,4818018,48,55.066647,-117.273404
vegreville care centre,311,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9C0A1,vegreville,ab,,Vegreville,,48,,
venta care centre,312,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5E4K3,edmonton,ab,,Edmonton,,48,,
vermilion health centre,313,general,Hospitals,Public Health Agency of Canada,,5720,50 ave,T9X1K7,vermilion,ab,5720 - 50th ave. vermilion ab t9x 1k7,Vermilion,4810042,48,53.3547731,-110.8730789
viking health centre,314,general,Hospitals,Public Health Agency of Canada,,5110,57 ave,T0B4N0,viking,ab,5110 - 57th ave. viking ab t0b 4n0,Viking,4810022,48,53.0996627,-111.7764446
vista dental,315,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1B4Y2,medicine hat,ab,,Medicine Hat,,48,,
vulcan community health centre,316,general,Hospitals,Public Health Agency of Canada,,610,elizabeth st s,T0L2B0,vulcan,ab,610 elizabeth st. s. vulcan ab t0l 2b0,Vulcan,4805006,48,50.3961012,-113.2588
wabasca/desmarais healthcare centre,317,,Ambulatory health care services,Province of Alberta,,881,mistassiniy road,T0G2K0,wabasca,ab,"881 mistassiniy road, wabasca, alberta, t0g 2k0",Desmarais,4817855,48,55.9429643,-113.8018573
wainwright health centre,318,general,Hospitals,Public Health Agency of Canada,,530,6 ave,T9W1R6,wainwright,ab,530 - 6th ave. wainwright ab t9w 1r6,Wainwright,4807054,48,52.840949,-110.865862
weiss clinic,319,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T6W2Z8,edmonton,ab,,Edmonton,,48,,
westlock healthcare centre (h),320,general,Hospitals,Public Health Agency of Canada,,10220,93 st,T7P2G4,westlock,ab,10220 - 93rd st. westlock ab t7p 2g4,Westlock,4813031,48,54.14653,-113.853259
westview care community,321,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0M1J0,linden,ab,,Linden,,48,,
westview health centre,322,general,Hospitals,Public Health Agency of Canada,,4405,south park dr,T7Z2M7,stony plain,ab,4405 south park dr. stony plain ab t7z 2m7,Stony Plain,4811048,48,53.537465,-113.977133
westview health centre - stony plain,323,,Ambulatory health care services,Province of Alberta,,4405,south park drive,T7Z2M7,stony plain,ab,"4405 – south park drive, stony plain, alberta, t7z 2m7",Stony Plain,4811048,48,53.53827,-113.978791
wetaskiwin hospital & care centre,324,general,Hospitals,Public Health Agency of Canada,,6910,47 st,T9A3N3,wetaskiwin,ab,6910 - 47th st. wetaskiwin ab t9a 3n3,Wetaskiwin,4811002,48,52.986764,-113.367947
whitecourt healthcare centre,325,general,Hospitals,Public Health Agency of Canada,,20,sunset blvd,T7S1M8,whitecourt,ab,20 sunset blvd. whitecourt ab t7s 1m8,Whitecourt,4813030,48,54.131598,-115.674435
william j. cadzow - lac la biche healthcare centre,326,,Ambulatory health care services,Province of Alberta,,9110,93 street,T0A2C0,lac la biche,ab,"9110 - 93 street, lac la biche, alberta, t0a 2c0",Lac la Biche County,4812037,48,54.7643782,-111.9635723
willingdon community health clinic,327,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B4R0,willingdon,ab,,Willingdon,,48,,
willow creek continuing care centre,328,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,
wing kei — care centre,329,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E2R4,calgary,ab,,Calgary,,48,,
wing kei — greenview,330,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E7Y6,calgary,ab,,Calgary,,48,,
woman’s health options ltd.,331,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4A7,edmonton,ab,,Edmonton,,48,,
100 mile district general hospital,332,general,Hospitals,Public Health Agency of Canada,,555,cedar ave,V0K2E0,100 mile house,bc,555 cedar ave. 100 mile house bc v0k 2e0,One Hundred Mile House,5941005,59,51.6376711,-121.2930534
115th residence,333,,Nursing and residential care facilities,Province of British Columbia,,1629,115 ave,V1G3C7,dawson creek,bc,1629 115 ave dawson creek bc v1g 3c7,Dawson Creek,5955014,59,55.7455893,-120.2501096
11a home,334,,Nursing and residential care facilities,Province of British Columbia,,5145,11a ave,V4M1Z7,delta,bc,5145 11a ave delta bc v4m 1z7,Delta,5915011,59,49.0241528,-123.0812712
1220 east 14th,335,,Nursing and residential care facilities,Province of British Columbia,,1220,14 st e,V7J1K2,north vancouver,bc,1220 14th st e north vancouver bc v7j 1k2,North Vancouver,5915051,59,49.3209903,-123.0404142
122nd avenue home,336,,Nursing and residential care facilities,Province of British Columbia,,22229,122 ave,V2X3X8,maple ridge,bc,22229 122nd ave maple ridge bc v2x 3x8,Maple Ridge,5915075,59,49.2244182,-122.6062374
123 walk-in clinic,337,,Ambulatory health care services,Province of British Columbia,,108-2777,gladwin road,V2T4V1,abbotsford,bc,108-2777 gladwin road abbotsford bc v2t 4v1,Abbotsford,5909052,59,49.051786,-122.315463
123rd home,338,,Nursing and residential care facilities,Province of British Columbia,,20878,123 ave,V2X4B2,maple ridge,bc,20878 123rd ave maple ridge bc v2x 4b2,Maple Ridge,5915075,59,49.2259116,-122.6427073
13333 - 20th avenue,339,,Nursing and residential care facilities,Province of British Columbia,,13333,20 ave,V4A1Z3,surrey,bc,13333 20th ave surrey bc v4a 1z3,Surrey,5915004,59,49.038953,-122.852582
1416 residence,340,,Nursing and residential care facilities,Province of British Columbia,,1416,102 ave,V1G2C9,dawson creek,bc,1416 102 ave dawson creek bc v1g2c9,Dawson Creek,5955014,59,55.759787,-120.242
17th street home,341,,Nursing and residential care facilities,Province of British Columbia,,4200,17 st,V1T8R7,vernon,bc,4200 17 st vernon bc v1t 8r7,Vernon,5937014,59,50.273778,-119.255517
1985 treelane road,342,,Nursing and residential care facilities,Province of British Columbia,,1985,treelane rd,V9W4G1,campbell river,bc,1985 treelane rd campbell river bc v9w 4g1,Campbell River,5924034,59,50.025908,-125.27372
1990 treelane road,343,,Nursing and residential care facilities,Province of British Columbia,,1990,treelane rd,V9W4E8,campbell river,bc,1990 treelane rd campbell river bc v9w 4e8,Campbell River,5924034,59,50.026306,-125.27363
216a street,344,,Nursing and residential care facilities,Province of British Columbia,,8983,216a st,V1M4C7,langley,bc,8983 216a st langley bc v1m 4c7,Langley,5915001,59,49.1658526,-122.6236643
227th home,345,,Nursing and residential care facilities,Province of British Columbia,,12775,227 st,V2X6K5,maple ridge,bc,12775 227th st maple ridge bc v2x 6k5,Maple Ridge,5915075,59,49.2346071,-122.5944504
25th avenue group home,346,,Nursing and residential care facilities,Province of British Columbia,,2980,25 ave ne,V1E3C7,salmon arm,bc,2980 25 ave ne salmon arm bc v1e 3c7,Salmon Arm,5939032,59,50.7177569,-119.2529612
29th street house,347,,,Province of British Columbia,,404,29 st,V1N3T9,castlegar,bc,404 29 st castlegar bc v1n 3t9,Castlegar,5903045,59,49.2759644,-117.6461235
30th street group home,348,,Nursing and residential care facilities,Province of British Columbia,,1201,30 st ne,V1E2B6,salmon arm,bc,1201 30 st ne salmon arm bc v1e 2b6,Salmon Arm,5939032,59,50.708592,-119.2511272
3381 worthington,349,,Nursing and residential care facilities,Province of British Columbia,,3381,worthington dr,V5M3X8,vancouver,bc,3381 worthington dr vancouver bc v5m 3x8,Vancouver,5915022,59,49.2551157,-123.0327623
35th avenue home,350,,Nursing and residential care facilities,Province of British Columbia,,902,35 ave,V1T2R3,vernon,bc,902 35 ave vernon bc v1t 2r3,Vernon,5937014,59,50.2664676,-119.2434272
38th avenue group home,351,,Nursing and residential care facilities,Province of British Columbia,,461,e 38 ave,V5W1H8,vancouver,bc,461 e 38th ave vancouver bc v5w 1h8,Vancouver,5915022,59,49.2364595,-123.0949445
47th avenue residence,352,,Nursing and residential care facilities,Province of British Columbia,,1759,e 47 ave,V5P1P6,vancouver,bc,1759 e 47th ave vancouver bc v5p 1p6,Vancouver,5915022,59,49.2279307,-123.070041
4th street home,353,,Nursing and residential care facilities,Province of British Columbia,,2304,4 st n,V1C5V9,cranbrook,bc,2304 4 st n cranbrook bc v1c 5v9,Cranbrook,5901022,59,49.5156951,-115.7487471
58th avenue home,354,,Nursing and residential care facilities,Province of British Columbia,,29172,58 ave,V4X2G1,abbotsford,bc,29172 58th ave abbotsford bc v4x 2g1,Abbotsford,5909052,59,49.107193,-122.415845
5960 angus place,355,,Nursing and residential care facilities,Province of British Columbia,,5960,angus pl,V3S4W7,surrey,bc,5960 angus pl surrey bc v3s 4w7,Surrey,5915004,59,49.110777,-122.747127
5984 - 191a street,356,,Nursing and residential care facilities,Province of British Columbia,,5984,191a st,V3S7N1,surrey,bc,5984 191a st surrey bc v3s 7n1,Surrey,5915004,59,49.1106832,-122.691835
6655a and 6655b arlington street,357,,Nursing and residential care facilities,Province of British Columbia,,6655,arlington st,V5S3P1,vancouver,bc,6655 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222888,-123.029207
6699 arlington,358,,Nursing and residential care facilities,Province of British Columbia,,6699,arlington st,V5S3P1,vancouver,bc,6699 arlington st vancouver bc v5s 3p1,Vancouver,5915022,59,49.222641,-123.029465
7th street,359,,Nursing and residential care facilities,Province of British Columbia,,322,7 street s,V1C1M7,cranbrook,bc,322 7 street s cranbrook bc v1c 1m7,Cranbrook,5901022,59,49.5020649,-115.7749363
88th,360,,Nursing and residential care facilities,Province of British Columbia,,23124,88 ave,V1M2R4,langley,bc,23124 88th ave fort langley bc v1m 2r4,Langley,5915001,59,49.1623587,-122.5823423
917 foster,361,,Nursing and residential care facilities,Province of British Columbia,,917,foster ave,V3J2L8,coquitlam,bc,917 foster ave coquitlam bc v3j 2l8,Coquitlam,5915034,59,49.2565375,-122.8710548
92a street house,362,,Nursing and residential care facilities,Province of British Columbia,,8704,92a st,V1J3J6,fort st john,bc,8704 92a st fort st. john bc v1j 3j6,Fort St. John,5955034,59,56.2337165,-120.8340087
9511 steveston highway,363,,Nursing and residential care facilities,Province of British Columbia,,9511,steveston hwy,V7A1M7,richmond,bc,9511 steveston hwy richmond bc v7a 1m7,Richmond,5915015,59,49.1337379,-123.1212091
95th avenue residence,364,,Nursing and residential care facilities,Province of British Columbia,,1625,95 ave,V1G1K2,dawson creek,bc,1625 95 ave dawson creek bc v1g 1k2,Dawson Creek,5955014,59,55.7674715,-120.249386
abbotsford regional hospital and cancer care,365,general,Hospitals,Public Health Agency of Canada,,2179,mccallum rd,V2S3P1,abbotsford,bc,2179 mccallum rd. abbotsford bc v2s 3p1,Abbotsford,5909052,59,49.041893,-122.295136
abbotsford regional hospital and cancer centre,366,cancer,Hospitals,Public Health Agency of Canada,,32900,marshall rd,V2S0C2,abbotsford,bc,32900 marshall rd abbotsford bc v2s 0c2,Abbotsford,5909052,59,49.037872,-122.312854
abbotsford village medical clinic,367,,Ambulatory health care services,Province of British Columbia,,302-2050,sumas way,V2S2C7,abbotsford,bc,302-2050 sumas way abbotsford bc v2s 2c7,Abbotsford,5909052,59,49.038729,-122.269714
abbott house,368,,Nursing and residential care facilities,Province of British Columbia,,7109,westholme rd,V9L6B4,duncan,bc,7109 westholme rd duncan bc v9l 6b4,North Cowichan,5919008,59,48.850301,-123.71504
abby central medical and dental clinic,369,,Ambulatory health care services,Province of British Columbia,,2855,gladwin road,V2T6Y4,abbotsford,bc,2855 gladwin road abbotsford bc v2t 6y4,Abbotsford,5909052,59,49.0541,-122.3176
aberdeen hospital - victoria,370,extended care,Hospitals,Public Health Agency of Canada,,1450,hillside ave,V8T2B7,victoria,bc,1450 hillside ave. victoria bc v8t 2b7,Victoria,5917034,59,48.4418999,-123.343
able care medical clinic,371,,Ambulatory health care services,Province of British Columbia,,56-2991,lougheed highway,V3B6J6,coquitlam,bc,56-2991 lougheed highway coquitlam bc v3b 6j6,Coquitlam,5915034,59,49.277419,-122.795021
acacia ty mawr,372,,Nursing and residential care facilities,Province of British Columbia,,2655,shawnigan lake rd e,V0R2W0,shawnigan lake,bc,2655 shawnigan lake rd e shawnigan lake bc v0r 2w0,Cowichan Valley B,5919046,59,48.649871,-123.62358
acropolis manor,373,,Nursing and residential care facilities,Province of British Columbia,,1325,summit ave,V8J4C1,prince rupert,bc,1325 summit ave prince rupert bc v8j 4c1,Prince Rupert,5947012,59,54.304055,-130.33
adanac house,374,,Nursing and residential care facilities,Province of British Columbia,,1745,adanac st,V8R2C4,victoria,bc,1745 adanac st victoria bc v8r 2c4,Victoria,5917034,59,48.4350268,-123.3317071
adanac park lodge,375,,Nursing and residential care facilities,Province of British Columbia,,851,boundary rd,V5K4T2,vancouver,bc,851 boundary rd vancouver bc v5k 4t2,Vancouver,5915022,59,49.2770771,-123.0245958
adrian house,376,,Nursing and residential care facilities,Province of British Columbia,,948,howard ave,V5B3R6,burnaby,bc,948 howard ave burnaby bc v5b 3r6,Burnaby,5915025,59,49.2756077,-122.9836654
agassiz seniors community,377,,Nursing and residential care facilities,Province of British Columbia,,1525,mackay cres,V0M1A3,agassiz,bc,1525 mackay cres agassiz bc v0m 1a3,Kent,5909032,59,49.2335015,-121.7681608
agecare — harmony court care centre,378,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5E3R7,burnaby,bc,,Burnaby,,59,,
airport way medical clinic,379,,Ambulatory health care services,Province of British Columbia,,5216,airport drive,V0C1R0,fort nelson,bc,5216 airport drive fort nelson bc v0c 1r0,Northern Rockies,5959007,59,58.80862,-122.6934
alberni-clayoquot continuing care society — echo village,380,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9Y4X3,port alberni,bc,,Port Alberni,,59,,
alberni-clayoquot continuing care society — fir park village,381,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9Y7Y5,port alberni,bc,,Port Alberni,,59,,
alder house,382,,Nursing and residential care facilities,Province of British Columbia,,4349,victoria dr,V5N4M9,vancouver,bc,4349 victoria dr vancouver bc v5n 4m9,Vancouver,5915022,59,49.2461756,-123.0655383
alder medical centre,383,,Ambulatory health care services,Province of British Columbia,,277,evergreen road,V9W5Y4,campbell river,bc,277 evergreen road campbell river bc v9w 5y4,Campbell River,5924034,59,50.007502,-125.241145
alder medical clinic,384,,Ambulatory health care services,Province of British Columbia,,2-575b,alder avenue,V0K2E1,100 mile house,bc,2-575b alder avenue 100 mile house bc v0k 2e1,One Hundred Mile House,5941005,59,51.6391635,-121.2962013
alexis home,385,,Nursing and residential care facilities,Province of British Columbia,,1561,alexis ave,V2B4L1,kamloops,bc,1561 alexis ave kamloops bc v2b 4l1,Kamloops,5933042,59,50.701098,-120.3833093
alfred adult residential,386,,Nursing and residential care facilities,Province of British Columbia,,3668,alfred ave,V0J2N0,smithers,bc,3668 alfred ave smithers bc v0j 2n0,Smithers,5951043,59,54.776614,-127.17154
alice lake place group home,387,,Nursing and residential care facilities,Province of British Columbia,,2724,alice lake pl,V3C5W8,coquitlam,bc,2724 alice lake pl coquitlam bc v3c 5w8,Coquitlam,5915034,59,49.2551287,-122.813081
all care canada,388,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8L2C3,sidney,bc,,Sidney,,59,,
allwood medical centre,389,,Ambulatory health care services,Province of British Columbia,,102-2752,allwood street,V2T3R7,abbotsford,bc,102-2752 allwood street abbotsford bc v2t 3r7,Abbotsford,5909052,59,49.051728,-122.319815
altesse,390,,Nursing and residential care facilities,Province of British Columbia,,3762,thurston st,V5H1H7,burnaby,bc,3762 thurston st burnaby bc v5h 1h7,Burnaby,5915025,59,49.2343917,-123.0214555
amadeus residence,391,,Nursing and residential care facilities,Province of British Columbia,,842,pears rd,V9C4A2,victoria,bc,842 pears rd victoria bc v9c 4a2,Metchosin,5917042,59,48.392091,-123.53762
amelia house,392,,Nursing and residential care facilities,Province of British Columbia,,2316,amelia ave,V8L2H6,sidney,bc,2316 amelia ave sidney bc v8l 2h6,Sidney,5917010,59,48.6589243,-123.4037832
amherst private hospital,393,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5X1X3,vancouver,bc,,Vancouver,,59,,
amica at edgemont village,394,,Nursing and residential care facilities,Province of British Columbia,,3225,highland blvd,V7R0A3,north vancouver,bc,3225 highland blvd north vancouver bc v7r 0a3,North Vancouver,5915046,59,49.33829,-123.101
amica douglas house,395,,Nursing and residential care facilities,Province of British Columbia,,50,douglas st,V8V2N8,victoria,bc,50 douglas st victoria bc v8v 2n8,Victoria,5917034,59,48.410418,-123.3692
amica lions gate,396,,Nursing and residential care facilities,Province of British Columbia,,701,keith rd,V7T1M2,west vancouver,bc,701 keith rd west vancouver bc v7t 1m2,West Vancouver,5915055,59,49.3313851,-123.135713
amica on the gorge,397,,Nursing and residential care facilities,Province of British Columbia,,994,gorge rd w,V9A1P2,victoria,bc,994 gorge rd w victoria bc v9a 1p2,Saanich,5917021,59,48.453413,-123.41963
amica west vancouver,398,,Nursing and residential care facilities,Province of British Columbia,,659,clyde ave,V7T1C8,west vancouver,bc,659 clyde ave west vancouver bc v7t 1c8,West Vancouver,5915055,59,49.3285716,-123.1332044
amica white rock,399,,Nursing and residential care facilities,Province of British Columbia,,15333,16 ave,V4A1R6,surrey,bc,15333 16th ave surrey bc v4a 1r6,Surrey,5915004,59,49.0313306,-122.7979716
ananda house,400,,Nursing and residential care facilities,Province of British Columbia,,1249,e 8 ave,V5T1V3,vancouver,bc,1249 e 8th ave vancouver bc v5t 1v3,Vancouver,5915022,59,49.263484,-123.079
ancron medical centre,401,,Ambulatory health care services,Province of British Columbia,,108-402,baker street,V1L4H8,nelson,bc,108-402 baker street nelson bc v1l 4h8,Nelson,5903015,59,49.491628,-117.294835
anderson manor,402,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V8V4C8,victoria,bc,,Victoria,,59,,
apple gate respite home,403,,Nursing and residential care facilities,Province of British Columbia,,710,applegate rd,V9W7A2,campbell river,bc,710 applegate rd campbell river bc v9w 7a2,Campbell River,5924034,59,49.961599,-125.22528
apple plaza walk-in clinic,404,,Ambulatory health care services,Province of British Columbia,,162-1848,main street,V2A5H3,penticton,bc,162-1848 main street penticton bc v2a 5h3,Penticton,5907041,59,49.47786,-119.5822
applecross,405,,Nursing and residential care facilities,Province of British Columbia,,6408,dover rd,V9V1A7,nanaimo,bc,6408 dover rd nanaimo bc v9v 1a7,Nanaimo,5921007,59,49.241761,-124.04279
aquarius medical clinic,406,,Ambulatory health care services,Province of British Columbia,,202-179,davie street,V6Z2Y1,vancouver,bc,202-179 davie street vancouver bc v6z 2y1,Vancouver,5915022,59,49.273776,-123.120741
arborwynd,407,,Nursing and residential care facilities,Province of British Columbia,,27136,112 ave,V2W1P8,maple ridge,bc,27136 112th ave maple ridge bc v2w 1p8,Maple Ridge,5915075,59,49.2051508,-122.4709799
arbour cottage,408,,Nursing and residential care facilities,Province of British Columbia,,17,baden powell st,V9G1A3,ladysmith,bc,17 baden powell st ladysmith bc v9g 1a3,Ladysmith,5919021,59,48.9920971,-123.8145297
arc en ciel,409,,Nursing and residential care facilities,Province of British Columbia,,3114,irma st,V9A1S8,victoria,bc,3114 irma st victoria bc v9a 1s8,Victoria,5917034,59,48.4473046,-123.385387
archway community services,410,,Ambulatory health care services,Province of British Columbia,,101-32555,simon avenue,V2T4Y2,abbotsford,bc,101-32555 simon avenue abbotsford bc v2t 4y2,Abbotsford,5909052,59,49.053349,-122.32308
archway house,411,,Nursing and residential care facilities,Province of British Columbia,,5933,168 st,V3S3X5,surrey,bc,5933 168th st surrey bc v3s 3x5,Surrey,5915004,59,49.1102944,-122.7568634
argyll lodge,412,,Nursing and residential care facilities,Province of British Columbia,,14590,106a ave,V3R1T4,surrey,bc,14590 106a ave surrey bc v3r 1t4,Mission,5909056,59,49.158058,-122.297122
arrow lakes hospital,413,general,Hospitals,Public Health Agency of Canada,,97,1 ave ne,V0G1R0,nakusp,bc,97 - 1st. ave. n.e. nakusp bc v0g 1r0,Nakusp,5903050,59,50.2382819,-117.7959708
arrowsmith lodge,414,,Nursing and residential care facilities,Province of British Columbia,,266,moilliet st,V9P1M9,parksville,bc,266 moilliet st parksville bc v9p 1m9,Parksville,5921018,59,49.316385,-124.32359
ashcroft and district hospital and community health centre,415,general,Hospitals,Public Health Agency of Canada,,700,ash,V0K1A0,ashcroft,bc,700 ash ashcroft bc v0k 1a0,Ashcroft,5933019,59,50.7347718,-121.2801628
ashcroft hospital and community health care centre,416,,Hospitals,Province of British Columbia,,700,ash-cache creek highway,V0K1A0,ashcroft,bc,700 ash-cache creek highway ashcroft bc v0k 1a0,Ashcroft,5933019,59,50.734772,-121.280163
ashley home,417,,Nursing and residential care facilities,Province of British Columbia,,32885,ashley way,V2S5W3,abbotsford,bc,32885 ashley way abbotsford bc v2s 5w3,Abbotsford,5909052,59,49.042617,-122.313256
ashnola at the crossing,418,,Nursing and residential care facilities,Province of British Columbia,,3865,hwy 3,V0X1N1,keremeos,bc,3865 hwy 3 keremeos bc v0x 1n1,Okanagan-Similkameen G,5907053,59,49.220572,-119.953199
aster house,419,,Nursing and residential care facilities,Province of British Columbia,,15625,aster rd,V4A1Y4,surrey,bc,15625 aster rd surrey bc v4a 1y4,Surrey,5915004,59,49.037309,-122.789768
augustine house,420,,Nursing and residential care facilities,Province of British Columbia,,3820,arthur dr,V4K5E6,delta,bc,3820 arthur dr delta bc v4k 5e6,Delta,5915011,59,49.0730448,-123.0769909
avecina medical clinic,421,,Ambulatory health care services,Province of British Columbia,,100-5581,204 street,V3A1Z4,langley,bc,100-5581 204th street langley bc v3a 1z4,Langley,5915002,59,49.10429,-122.6567
