facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
SANTÉ SURGI-CENTRE,247,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T1B 4E7,medicine hat,ab,,Medicine Hat,,48,,
Alzheimer Society of Belleville-Hastings-Quinte,2470,community support service,Ambulatory health care services,Province of Ontario,,470,dundas street e,K8N 1G1,belleville,on,,Belleville,3512005,35,44.168469,-77.353038
Alzheimer Society of Brant,2471,community support service,Ambulatory health care services,Province of Ontario,,101,brant avenue,N3T 3H4,brantford,on,,Brantford,3529006,35,43.14248265,-80.27205522
Alzheimer Society of Cambridge,2472,community support service,Ambulatory health care services,Province of Ontario,,1145,concession road,N3H 4L6,cambridge,on,,Cambridge,3530010,35,43.39701529,-80.34420357
Alzheimer Society of Chatham-Kent,2473,community support service,Ambulatory health care services,Province of Ontario,,36,memory lane,N7L 5M8,chatham-kent,on,,Chatham-Kent,3536020,35,42.41444853,-82.18305125
Alzheimer Society of Cornwall & District,2474,community support service,Ambulatory health care services,Province of Ontario,,106,2 street w,K6J 1G5,cornwall,on,,Cornwall,3501012,35,45.01701602,-74.73122098
Alzheimer Society of Dufferin County,2475,community support service,Ambulatory health care services,Province of Ontario,,25,centennial road,L9W 1R1,orangeville,on,,Orangeville,3522014,35,43.9123152,-80.10782484
Alzheimer Society of Durham Region,2476,community support service,Ambulatory health care services,Province of Ontario,,419,king street w,L1J 2K5,oshawa,on,,Oshawa,3518013,35,43.88944965,-78.87895794
Alzheimer Society of Elgin-St. Thomas,2477,community support service,Ambulatory health care services,Province of Ontario,,450,sunset drive,N5R 5V1,saint thomas,on,,Central Elgin,3534020,35,42.73878874,-81.19297157
Alzheimer Society of Grey-Bruce,2478,community support service,Ambulatory health care services,Province of Ontario,,753,2 avenue e,N4K 2G9,owen sound,on,,Owen Sound,3542059,35,44.56309927,-80.94192327
Alzheimer Society of Guelph-Wellington,2479,community support service,Ambulatory health care services,Province of Ontario,,111,macdonell street,N1H 2Z7,guelph,on,,Guelph,3523008,35,43.54541173,-80.24641475
Alzheimer Society of Hamilton and Halton,2480,community support service,Ambulatory health care services,Province of Ontario,,1685,main street w,L8S 1G5,hamilton,on,,Hamilton,3525005,35,43.25665249,-79.93422662
Alzheimer Society of Huron County Inc.,2482,community support service,Ambulatory health care services,Province of Ontario,,317,huron road,N0M 1L0,clinton,on,,Central Huron,3540025,35,43.62179308,-81.54961967
Alzheimer Society of Kenora & Rainy River District,2483,community support service,Ambulatory health care services,Province of Ontario,,618,9 street n,P9N 4B5,kenora,on,,Kenora,3560010,35,49.77572754,-94.4852186
Alzheimer Society of Kingston,2484,community support service,Ambulatory health care services,Province of Ontario,,400,elliott avenue,K7K 6M9,kingston,on,,Kingston,3510010,35,44.25568652,-76.498125
Alzheimer Society of Kitchener-Waterloo,2485,community support service,Ambulatory health care services,Province of Ontario,,831,frederick street,N2B 2B4,kitchener,on,,Kitchener,3530013,35,43.4633353,-80.45872131
Alzheimer Society of London and Middlesex,2486,community support service,Ambulatory health care services,Province of Ontario,,435,windermere road,N5X 2T1,london,on,,London,3539036,35,43.01664828,-81.26913702
Alzheimer Society of Muskoka,2487,community support service,Ambulatory health care services,Province of Ontario,,440,ecclestone drive,P1L 1Z6,bracebridge,on,,Bracebridge,3544018,35,45.01841232,-79.31460759
Alzheimer Society of Niagara Region,2488,community support service,Ambulatory health care services,Province of Ontario,,403,ontario street,L2N 1L5,st catharines,on,,St. Catharines,3526053,35,43.18351721,-79.26633031
Alzheimer Society of North Bay and District,2489,community support service,Ambulatory health care services,Province of Ontario,,1180,cassells street,P1B 4B6,north bay,on,,North Bay,3548044,35,46.31889133,-79.44197936
Sheldon m. Chumir Health Centre,249,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2R 0X7,calgary,ab,,Calgary,,48,,
Alzheimer Society of North East Simcoe County,2490,community support service,Ambulatory health care services,Province of Ontario,,169,front street s,L3V 6K2,orillia,on,,Orillia,3543052,35,44.60535525,-79.41127648
Alzheimer Society of Ontario,2491,community support service,Ambulatory health care services,Province of Ontario,,1200,bay street,M5R 2A5,toronto,on,,Toronto,3520005,35,43.66999639,-79.38985879
Alzheimer Society of Oxford,2492,community support service,Ambulatory health care services,Province of Ontario,,575,peel street,N4S 1K6,woodstock,on,,Woodstock,3532042,35,43.12995893,-80.75260207
Alzheimer Society of Perth County,2493,community support service,Ambulatory health care services,Province of Ontario,,1020,ontario street,N5A 6Z3,stratford,on,,Stratford,3531011,35,43.37141906,-80.94661975
"Alzheimer Society of Peterborough, Haliburton & Northumberland",2494,community support service,Ambulatory health care services,Province of Ontario,,183,simcoe street,K9H 2H6,peterborough,on,,Peterborough,3515014,35,44.30437875,-78.3210991
Alzheimer Society of Prince Edward County,2495,community support service,Ambulatory health care services,Province of Ontario,,90,king street prince,K0K 2T0,edward,on,,Prince Edward County,3513020,35,44.00956055,-77.14004779
Alzheimer Society of Sarnia-Lambton,2496,community support service,Ambulatory health care services,Province of Ontario,,420,east street n,N7T 6Y5,sarnia,on,,Sarnia,3538030,35,42.98421102,-82.38565967
Alzheimer Society of Sault Ste. Marie and Algoma,2497,community support service,Ambulatory health care services,Province of Ontario,,341,trunk road,P6A 3S9,sault ste marie,on,,Sault Ste. Marie,3557061,35,46.5159811,-84.28650594
Alzheimer Society of Simcoe County,2498,community support service,Ambulatory health care services,Province of Ontario,,20,anne street s,L4M 5R4,barrie,on,,Barrie,3543042,35,44.3813294,-79.70462585
Alzheimer Society of Thunder Bay,2499,community support service,Ambulatory health care services,Province of Ontario,,180,park avenue,P7B 6J4,thunder bay,on,,Thunder Bay,3558004,35,48.43359187,-89.21958186
Bethany Care Society — Bethany Calgary,25,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N 1C6,calgary,ab,,Calgary,,48,,
Shepherd’s Care Foundation — Eden House,250,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6J 5S4,edmonton,ab,,Edmonton,,48,,
Alzheimer Society of Timmins-Porcupine District Inc.,2500,community support service,Ambulatory health care services,Province of Ontario,,70,cedar street s,P4N 2G6,timmins,on,,Timmins,3556027,35,48.47470957,-81.32914363
Alzheimer Society of Toronto,2501,community support service,Ambulatory health care services,Province of Ontario,,20,eglinton avenue w,M4R 1K8,toronto,on,,Toronto,3520005,35,43.70669329,-79.39948989
Alzheimer Society of Windsor and Essex County,2502,community support service,Ambulatory health care services,Province of Ontario,,2135,richmond street,N8Y 0A1,windsor,on,,Windsor,3537039,35,42.31669177,-83.0061887
Alzheimer Society Peel,2503,community support service,Ambulatory health care services,Province of Ontario,,60,briarwood avenue,L5G 3N6,mississauga,on,,Mississauga,3521005,35,43.56089946,-79.58102284
Alzheimer Society Sudbury-Manitoulin,2505,community support service,Ambulatory health care services,Province of Ontario,,960,notre dame avenue,P3A 2T4,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005,35,46.51756439,-80.98200638
Amber Lea Place Retirement Residence,2507,retirement home,Nursing and residential care facilities,Province of Ontario,,384,st paul avenue,N3R 4N4,brantford,on,,Brantford,3529006,35,43.15713846,-80.27468682
Amelie Residence,2508,retirement home,Nursing and residential care facilities,Province of Ontario,,3866,albion road,K1T 1B3,ottawa,on,,Ottawa,3506008,35,45.34295944,-75.63716051
Amethyst Women's Addiction Centre,2509,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,488,wilbrod street,K1N 6M8,ottawa,on,,Ottawa,3506008,35,45.42991766,-75.67444133
Shepherd’s Care Foundation — Kensington Campus,251,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5L 5B1,edmonton,ab,,Edmonton,,48,,
Amherstburg Community Services,2510,community support service,Ambulatory health care services,Province of Ontario,,179,victoria street s,N9V 4K5,amherstburg,on,,Amherstburg,3537028,35,42.10448713,-83.10021441
Amherstburg Family Health Team,2511,family health team - contract,Ambulatory health care services,Province of Ontario,,721,front road s,N9V 2M4,amherstburg,on,,Amherstburg,3537028,35,42.08735643,-83.10897921
Amica at Barrie,2512,retirement home,Nursing and residential care facilities,Province of Ontario,,70,lakeside terrace,L4M 0J2,barrie,on,,Barrie,3543042,35,44.4162674,-79.66788724
Amica at Bayview,2513,retirement home,Nursing and residential care facilities,Province of Ontario,,15,barberry place,M2K 1G4,toronto,on,,Toronto,3520005,35,43.766395,-79.38399909
Amica at Bayview Gardens,2514,retirement home,Nursing and residential care facilities,Province of Ontario,,19,rean drive,M2K 0A4,toronto,on,,Toronto,3520005,35,43.76720841,-79.38241549
Amica at Brampton,2515,retirement home,Nursing and residential care facilities,Province of Ontario,,223,main street s,L6Y 6H1,brampton,on,,Brampton,3521010,35,43.67006457,-79.7398157
Amica at City Centre,2516,retirement home,Nursing and residential care facilities,Province of Ontario,,380,princess royal drive,L5B 4M9,mississauga,on,,Mississauga,3521005,35,43.58723066,-79.64714336
Amica at Dundas,2517,retirement home,Nursing and residential care facilities,Province of Ontario,,50,hatt street,L9H 0A1,hamilton,on,,Hamilton,3525005,35,43.26447919,-79.95503403
Amica at Erin Mills,2518,retirement home,Nursing and residential care facilities,Province of Ontario,,4620,kimbermount avenue,L5M 5W5,mississauga,on,,Mississauga,3521005,35,43.54959005,-79.71614718
Amica at London,2519,retirement home,Nursing and residential care facilities,Province of Ontario,,517,fanshawe park road w,N6G 0C1,london,on,,London,3539036,35,43.02024838,-81.30637654
Shepherd’s Care Foundation — Millwoods Campus,252,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6K 2R1,edmonton,ab,,Edmonton,,48,,
Amica at Newmarket,2520,retirement home,Nursing and residential care facilities,Province of Ontario,,275,doak lane,L3Y 0A2,newmarket,on,,Newmarket,3519048,35,44.05501705,-79.43496524
Amica at Oakville,2521,retirement home,Nursing and residential care facilities,Province of Ontario,,160,bronte road,L6L 3C1,oakville,on,,Oakville,3524001,35,43.39473282,-79.71469797
Amica at Stoney Creek,2522,retirement home,Nursing and residential care facilities,Province of Ontario,,135,king street e,L8G 1J8,hamilton,on,,Hamilton,3525005,35,43.21755269,-79.74812356
Amica at Swan Lake,2523,retirement home,Nursing and residential care facilities,Province of Ontario,,6360,16 avenue,L3P 7Y6,markham,on,,Markham,3519036,35,43.89526623,-79.25243066
Amica at the Balmoral Club,2524,retirement home,Nursing and residential care facilities,Province of Ontario,,155,balmoral avenue,M4V 1J5,toronto,on,,Toronto,3520005,35,43.68422839,-79.40018149
Amica at Thornhill,2525,retirement home,Nursing and residential care facilities,Province of Ontario,,546,steeles avenue w,L4J 1A2,vaughan,on,,Vaughan,3519028,35,43.79438891,-79.43905361
Amica at Unionville,2526,retirement home,Nursing and residential care facilities,Province of Ontario,,34,main street unionville,L3R 4Z8,markham,on,,Markham,3519036,35,43.85638152,-79.31000908
Amica at Westboro Park,2527,retirement home,Nursing and residential care facilities,Province of Ontario,,491,richmond road,K2A 1G4,ottawa,on,,Ottawa,3506008,35,45.38886545,-75.76081176
Amica at Whitby,2528,retirement home,Nursing and residential care facilities,Province of Ontario,,200,kenneth hobbs avenue,L1R 0G6,whitby,on,,Whitby,3518009,35,43.90290315,-78.94221856
Amica at Windsor,2529,retirement home,Nursing and residential care facilities,Province of Ontario,,4909,riverside drive,N8Y 0A4,windsor,on,,Windsor,3537039,35,42.32797968,-82.97918309
Sherwood Care,253,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T8A 0X1,sherwood park,ab,,,,48,,
Anagram Premier/Rescare Premier Canada,2530,community support service,Ambulatory health care services,Province of Ontario,,990,line 1 road,L0S 1J0,niagara-on-the-lake,on,,Niagara-on-the-Lake,3526047,35,43.22611312,-79.09861726
Ancaster Community Services,2531,community support service,Ambulatory health care services,Province of Ontario,,300,wilson street e,L9G 2B9,hamilton,on,,Hamilton,3525005,35,43.22526378,-79.97666674
Anfield Manor,2532,retirement home,Nursing and residential care facilities,Province of Ontario,,26,joseph street,N0M 1L0,londesborough,on,,Central Huron,3540025,35,43.6146704,-81.5405969
Angel's Retirement Home,2533,retirement home,Nursing and residential care facilities,Province of Ontario,,417,queenston street,L2P 2Y3,st catharines,on,,St. Catharines,3526053,35,43.15948841,-79.20817339
Anishnawbe Health Toronto,2534,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,22,vaughan road,M6G 2N1,toronto,on,,Toronto,3520005,35,43.68166709,-79.4184381
Anishnawbe Health Toronto Community Health Centre,2535,community health centre,Ambulatory health care services,Province of Ontario,,225,queen street e,M5A 1S4,toronto,on,,Toronto,3520005,35,43.65422059,-79.36981238
Anishnawbe Mushkiki Inc.,2536,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,101,syndicate avenue n,P7C 3V4,thunder bay,on,,Thunder Bay,3558004,35,48.38439656,-89.24912166
Anne Johnston Health Station - Tobias House Attendant Care,2537,community health centre,Ambulatory health care services,Province of Ontario,,2398,yonge street,M4P 2H4,toronto,on,,Toronto,3520005,35,43.70972309,-79.39930509
Anne Johnston Health Station - Tobias House Attendant Care (Css),2538,community support service,Ambulatory health care services,Province of Ontario,,695,coxwell avenue,M4C 5R6,toronto,on,,Toronto,3520005,35,43.68309609,-79.32334507
Anson General Hospital,2539,general,Hospitals,Public Health Agency of Canada,,58,anson dr,P0K 1E0,iroquois falls,on,58 anson dr. iroquois falls on p0k 1e0,Iroquois Falls,3556031,35,48.7690269,-80.6860401
Slave Lake Associate Medical Clinic,254,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T0G 2A2,slave lake,ab,,Slave Lake,,48,,
Anson Place Care Centre,2540,long-term care home,Nursing and residential care facilities,Province of Ontario,,85,main street n,N0A 1H0,hagersville,on,,Haldimand County,3528018,35,42.96738873,-80.04801284
Aphasia Institute,2549,community support service,Ambulatory health care services,Province of Ontario,,73,scarsdale road,M3B 2R2,toronto,on,,Toronto,3520005,35,43.7494936,-79.35469398
Slave Lake Healthcare Centre,255,general,Hospitals,Public Health Agency of Canada,,309,6 st ne,T0G 2A2,slave lake,ab,309 - 6th st. n.e. slave lake ab t0g 2a2,Slave Lake,4817029,48,55.284356,-114.760739
Appleby Place,2550,retirement home,Nursing and residential care facilities,Province of Ontario,,500,appleby line,L7L 5Z6,burlington,on,,Burlington,3524002,35,43.36821872,-79.75569998
Applefest Lodge,2551,retirement home,Nursing and residential care facilities,Province of Ontario,,120,elizabeth street,K0K 1H0,brighton,on,,Brighton,3514004,35,44.04358743,-77.72759309
Applewood Retirement Residence,2552,retirement home,Nursing and residential care facilities,Province of Ontario,,1500,lansdowne street w,K9J 2A2,peterborough,on,,Peterborough,3515014,35,44.27854324,-78.36214781
Arbor Trace Alzheimer's Special Care Center,2553,retirement home,Nursing and residential care facilities,Province of Ontario,,120,chelton road,N6M 1C6,london,on,,London,3539036,35,42.96298198,-81.17483989
Arbour Creek Long-Term Care Centre,2554,long-term care home,Nursing and residential care facilities,Province of Ontario,,2717,king street e,L8G 1J3,hamilton,on,,Hamilton,3525005,35,43.22141329,-79.77670807
Arbour Heights,2555,long-term care home,Nursing and residential care facilities,Province of Ontario,,564,tanner drive,K7M 0C3,kingston,on,,Kingston,3510010,35,44.23937071,-76.55865852
Arid Group Homes (Niagara),2556,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,89,queen street,L2A 1T9,fort erie,on,,Fort Erie,3526003,35,42.90986347,-78.91451317
Arnprior and District Family Health Team,2557,family health team - contract,Ambulatory health care services,Province of Ontario,,346,john street n,K7S 2P6,arnprior,on,,Arnprior,3547002,35,45.44144283,-76.35297456
Smoky Lake (George Mcdougall Memorial) Healthcare Centre,256,general,Hospitals,Public Health Agency of Canada,,4212,55 ave,T0A 3C0,smoky lake,ab,4212 - 55 ave. smoky lake ab t0a 3c0,Smoky Lake,4812029,48,54.121133,-112.465024
Arnprior Regional Health — Arnprior & District Memorial Hospital,2560,general,Hospitals,Public Health Agency of Canada,,350,john st n,K7S 2P6,arnprior,on,350 john st. n. arnprior on k7s 2p6,Arnprior,3547002,35,45.441542,-76.35292
Arnprior Villa,2562,retirement home,Nursing and residential care facilities,Province of Ontario,,15,arthur street,K7S 1A1,arnprior,on,,Arnprior,3547002,35,45.42438943,-76.36493626
"Arnprior, Braeside, Mcnab Seniors at Home Program Inc.",2563,community support service,Ambulatory health care services,Province of Ontario,,106,mcgonigal street w,K7S 1M4,arnprior,on,,Arnprior,3547002,35,45.43422493,-76.35837846
Arul Oli Senior Centre,2564,retirement home,Nursing and residential care facilities,Province of Ontario,,8,snowy owl way,M1X 0B4,toronto,on,,Toronto,3520005,35,43.83209692,-79.23443505
Ashwood Manor,2565,retirement home,Nursing and residential care facilities,Province of Ontario,,79,david street,N6P 1B4,london,on,,London,3539036,35,42.90973516,-81.28913502
Assisted Living Southwestern Ontario,2566,community support service,Ambulatory health care services,Province of Ontario,,3141,sandwich street,N9C 1A7,windsor,on,,Windsor,3537039,35,42.30329217,-83.07435282
Association of Ontario Health Centres,2567,community support service,Ambulatory health care services,Province of Ontario,,970,lawrence avenue,M6A 3B6,toronto,on,,Toronto,3520005,35,43.71371849,-79.45837461
at-Home Hospice,2568,community support service,Ambulatory health care services,Province of Ontario,,1419,carling avenue,K1Z 7L6,ottawa,on,,Ottawa,3506008,35,45.38617585,-75.74015465
Atikameksheng Anishnawbek,2569,community support service,Ambulatory health care services,Province of Ontario,,25,reserve road,P0M 2M0,naughton,on,,Whitefish Lake 6,3552051,35,46.39804346,-81.17895173
Smoky Lake Continuing Care Centre,257,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A 3C0,smoky lake,ab,,Smoky Lake,,48,,
Atikokan Family Health Team,2570,family health team - contract,Ambulatory health care services,Province of Ontario,,101,zuke road,P0T 1C0,atikokan,on,,Atikokan,3559001,35,48.75379034,-91.60071464
Atikokan General Hospital,2571,chronic care,Hospitals,Public Health Agency of Canada,,120,dorothy st,P0T 1C0,atikokan,on,120 dorothy st. atikokan on p0t 1c0,Atikokan,3559001,35,48.754155,-91.597609
Atrium at Kew Beach,2576,retirement home,Nursing and residential care facilities,Province of Ontario,,500,kingston road,M4L 1V3,toronto,on,,Toronto,3520005,35,43.67800329,-79.30274076
Atrium Retirement Residence,2577,retirement home,Nursing and residential care facilities,Province of Ontario,,230,coldwater road w,L3V 3M2,orillia,on,,Orillia,3543052,35,44.60949175,-79.43333849
AU CHATEAU,2578,long-term care home,Nursing and residential care facilities,Province of Ontario,,100,michaud street,P2B 2Z4,west nipissing,on,,West Nipissing / Nipissing Ouest,3548055,35,46.37203452,-79.92058532
Auberge Plein Soleil,2580,retirement home,Nursing and residential care facilities,Province of Ontario,,258,telegraphe road,K0B 1A0,alfred,on,,Alfred and Plantagenet,3502023,35,45.55953881,-74.87851758
Augustine Villas Retirement Home and Assisted Living,2581,retirement home,Nursing and residential care facilities,Province of Ontario,,54,spruce street n,N9Y 2E5,kingsville,on,,Kingsville,3537013,35,42.03996314,-82.73671029
Aurora-Newmarket Family Health Team,2582,family health team - contract,Ambulatory health care services,Province of Ontario,,531,davis drive,L3Y 6P5,newmarket,on,,Newmarket,3519048,35,44.06057705,-79.45637234
Avalon Retirement Centre,2583,long-term care home,Nursing and residential care facilities,Province of Ontario,,355,broadway avenue,L9W 3Y3,orangeville,on,,Orangeville,3522014,35,43.9169995,-80.11650514
Ay Alternatives for Youth Hamilton,2585,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,38,james street s,L8P 4W6,hamilton,on,,Hamilton,3525005,35,43.25556639,-79.8696957
Aylmer Retirement Residence,2586,retirement home,Nursing and residential care facilities,Province of Ontario,,258,talbot street e,N5H 1H7,aylmer,on,,Aylmer,3534011,35,42.77286835,-80.97801581
Babcock Community Care Centre,2587,long-term care home,Nursing and residential care facilities,Province of Ontario,,196,wellington street,N0L 2N0,wardsville,on,,Southwest Middlesex,3539005,35,42.6583997,-81.75796234
Balance for Blind Adults,2588,community support service,Ambulatory health care services,Province of Ontario,,2340,dundas street w,M6P 4A9,toronto,on,,Toronto,3520005,35,43.65694408,-79.45227951
Balance for Blind Adults (Tc Lhin),2589,community support service,Ambulatory health care services,Province of Ontario,,4920,dundas street w,M9A 1B7,toronto,on,,Toronto,3520005,35,43.64861988,-79.52910703
South Calgary Health Centre,259,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T2X 3W5,calgary,ab,,Calgary,,48,,
Balmoral Place Retirement Community,2591,retirement home,Nursing and residential care facilities,Province of Ontario,,8,harbour street w,L9Y 5B4,collingwood,on,,Collingwood,3543031,35,44.50769829,-80.23972254
Bancroft Fht,2592,family health team - contract,Ambulatory health care services,Province of Ontario,,16,billa street,K0L 1C0,bancroft,on,,Bancroft,3512061,35,45.0555315,-77.84916191
Banwell Gardens Care Centre,2593,long-term care home,Nursing and residential care facilities,Province of Ontario,,3000,banwell road,N8N 2M4,windsor,on,,Windsor,3537039,35,42.31060008,-82.89979807
Banyan Community Services Inc,2594,community support service,Ambulatory health care services,Province of Ontario,,688,queensdale avenue e,L8V 1M1,hamilton,on,,Hamilton,3525005,35,43.23397249,-79.84680429
"Barbra Schlifer Commemorative Clinic, the",2595,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,489,college street,M6G 1A5,toronto,on,,Toronto,3520005,35,43.65588248,-79.40919499
Bariatric Medical Institute Inc - Css,2596,community support service,Ambulatory health care services,Province of Ontario,,575,west hunt club road,K2G 5W5,ottawa,on,,Ottawa,3506008,35,45.33352244,-75.72851974
Barnswallow Place Care Community,2597,long-term care home,Nursing and residential care facilities,Province of Ontario,,120,barnswallow drive,N3B 2Y9,elmira,on,,Woolwich,3530035,35,43.59297082,-80.57796106
Barrhaven Manor,2598,retirement home,Nursing and residential care facilities,Province of Ontario,,110,berrigan drive,K2J 5A6,ottawa,on,,Ottawa,3506008,35,45.27769903,-75.74225964
Barrie and Community Family Health Team,2599,family health team - contract,Ambulatory health care services,Province of Ontario,,370,bayview drive,L4N 7L3,barrie,on,,Barrie,3543042,35,44.34808359,-79.68029584
Bethany Care Society — Bethany Cochrane,26,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4C 1X9,cochrane,ab,,Cochrane,,48,,
South Calgary Oral and Maxillofacial Surgery,260,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2W 4Y1,calgary,ab,,Calgary,,48,,
Barrie Area Native Advisory Circle,2600,community support service,Ambulatory health care services,Province of Ontario,,64,cedar point drive,L4N 5R7,barrie,on,,Barrie,3543042,35,44.3823507,-79.71426826
Barrie Community Health Centre,2601,children's treatment centre,Ambulatory health care services,Province of Ontario,,490,Huronia Rd,L4N 6M2,barrie,on,,Barrie,3543042,35,44.390288,-79.69138875
Barrie Manor Senior Living,2602,retirement home,Nursing and residential care facilities,Province of Ontario,,340,blake street,L4M 1L3,barrie,on,,Barrie,3543042,35,44.3979773,-79.65571934
Barry's Bay & Area Senior Citizens Home Support Program Inc.,2603,community support service,Ambulatory health care services,Province of Ontario,,7,st francis memorial drive,K0J 1B0,barrys bay,on,,Madawaska Valley,3547030,35,45.48200648,-77.6946246
the Wellington Nursing Home,2604,retirement home,Nursing and residential care facilities,Province of Ontario,,1430,upper wellington street,L9A 5H3,hamilton,on,,Hamilton,3525005,35,43.20948778,-79.8796767
Batchewana First Nation of Ojibways,2605,community support service,Ambulatory health care services,Province of Ontario,,236,frontenac street,P6A 5K9,garden river,on,,Rankin Location 15D,3557075,35,46.52830941,-84.26145704
Bay Haven Nursing Home,2606,long-term care home,Nursing and residential care facilities,Province of Ontario,,499,hume street,L9Y 4H8,collingwood,on,,Collingwood,3543031,35,44.49946329,-80.19803202
Bay Ridges,2608,long-term care home,Nursing and residential care facilities,Province of Ontario,,900,sandy beach road,L1W 1Z4,pickering,on,,Pickering,3518001,35,43.82847003,-79.0771309
South Edmonton Oral Surgery,261,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T6H 5P9,edmonton,ab,,Edmonton,,48,,
Baycrest Hospital,2611,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,3560,bathurst st,M6A 2E1,toronto,on,3560 bathurst st. toronto on m6a 2e1,Toronto,3520005,35,43.7305734,-79.433654
Bayfield House Retirement Lodge,2614,retirement home,Nursing and residential care facilities,Province of Ontario,,5,beck boulevard,L9M 1C1,penetanguishene,on,,Penetanguishene,3543072,35,44.77457015,-79.93728776
Bayfield Manor,2615,long-term care home,Nursing and residential care facilities,Province of Ontario,,100,elvira street,K0G 1J0,kemptville,on,,North Grenville,3507065,35,45.01874519,-75.65323739
Bayshore Healthcare Ltd,2617,community support service,Ambulatory health care services,Province of Ontario,,2101,hadwen road,L5K 2L3,mississauga,on,,Mississauga,3521005,35,43.52298305,-79.65538916
Bayview Retirement Home,2618,retirement home,Nursing and residential care facilities,Province of Ontario,,175,walnut street,L0K 2C0,waubaushene,on,,Tay,3543071,35,44.75224116,-79.70792729
Baywoods Place,2619,long-term care home,Nursing and residential care facilities,Province of Ontario,,330,main street e,L8N 3T9,hamilton,on,,Hamilton,3525005,35,43.25176169,-79.8569424
South Health Campus,262,,Hospitals,Province of Alberta,,4448,front street se,T3M 1M4,calgary,ab,"4448 front street se, calgary, alberta, t3m 1m4",Calgary,4806016,48,50.8820756,-113.9511437
Beach Arms Retirement Residence,2620,retirement home,Nursing and residential care facilities,Province of Ontario,,505,kingston road,M4L 1V5,toronto,on,,Toronto,3520005,35,43.67733999,-79.30233976
Beacon Heights Retirement Residence,2621,retirement home,Nursing and residential care facilities,Province of Ontario,,2201,montreal road,K1J 0B4,ottawa,on,,Ottawa,3506008,35,45.45085876,-75.5870252
Beamsville Medical Centre Fht,2622,family health team - contract,Ambulatory health care services,Province of Ontario,,4279,hixon street,L0R 1B0,lincoln,on,,Lincoln,3526057,35,43.16419089,-79.47463457
Bearbrook Retirement Residence,2623,retirement home,Nursing and residential care facilities,Province of Ontario,,2645,innes road,K1B 3J7,ottawa,on,,Ottawa,3506008,35,45.43259036,-75.56384389
Beattie Manor,2624,retirement home,Nursing and residential care facilities,Province of Ontario,,23328,beattie line,N0L 2N0,wardsville,on,,West Elgin,3534042,35,42.6486067,-81.74992014
Beausoleil First Nation,2625,community support service,Ambulatory health care services,Province of Ontario,,1,ogema street,L0K 1C0,cedar point,on,,Tiny,3543068,35,44.80851975,-80.11456672
Beechwood Manor,2626,retirement home,Nursing and residential care facilities,Province of Ontario,,305,erb street w,N2L 1W4,waterloo,on,,Waterloo,3530016,35,43.4562434,-80.54209083
Bella Senior Care Residences,2628,long-term care home,Nursing and residential care facilities,Province of Ontario,,8720,willoughby drive,L2G 7X3,niagara falls,on,,Niagara Falls,3526043,35,43.05084229,-79.04543772
Belleville,2629,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,231,front street,K8N 2Z4,belleville,on,,Belleville,3512005,35,44.16453286,-77.38436828
Southern Alberta Eye Centre,263,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2H 0C8,calgary,ab,,Calgary,,48,,
Belleville and Quinte West Community Health Centre,2630,children's treatment centre,Ambulatory health care services,Province of Ontario,,161,bridge street w,K8P 1K2,belleville,on,,Belleville,3512005,35,44.1603606,-77.3979771
Bellwood Health Services Inc.,2631,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,175,brentcliffe road,M4G 0C5,toronto,on,,Toronto,3520005,35,43.7195849,-79.36622688
Bellwoods Centres,2632,community support service,Ambulatory health care services,Province of Ontario,,789,don mills road,M3C 1T5,toronto,on,,Toronto,3520005,35,43.7185524,-79.33749378
Belmont House,2633,retirement home,Nursing and residential care facilities,Province of Ontario,,55,belmont street,M5R 1R1,toronto,on,,Toronto,3520005,35,43.67461349,-79.39106979
